date,region,commodity,commodity_group,category,oni,enso_phase,price_php
2000-01-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-1.7,La Nina,88.2
2000-01-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-1.7,La Nina,17.8
2000-01-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-1.7,La Nina,99.77
2000-01-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",-1.7,La Nina,86.25
2000-01-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,-1.7,La Nina,16.5
2000-03-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-1.1,La Nina,93.43
2000-03-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-1.1,La Nina,18.0
2000-03-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-1.1,La Nina,87.22
2000-03-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-1.1,La Nina,99.54
2000-03-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-1.1,La Nina,18.25
2000-03-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,-1.1,La Nina,17.0
2000-03-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-1.1,La Nina,74.1
2000-03-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,-1.1,La Nina,17.0
2000-04-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.8,La Nina,90.0
2000-04-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.8,La Nina,18.95
2000-05-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,97.14
2000-05-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.7,La Nina,19.55
2000-05-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,97.64
2000-05-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-0.7,La Nina,18.5
2000-05-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,88.29
2000-05-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,73.22
2000-05-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,-0.7,La Nina,17.0
2000-06-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.6,La Nina,89.47
2000-06-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.6,La Nina,20.75
2000-06-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.6,La Nina,99.99
2000-06-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-0.6,La Nina,18.5
2000-06-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",-0.6,La Nina,87.86
2000-07-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.6,La Nina,88.28
2000-07-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.6,La Nina,20.8
2000-07-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-0.6,La Nina,18.9
2000-07-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,-0.6,La Nina,17.8
2000-07-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.6,La Nina,72.63
2000-08-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.5,La Nina,89.6
2000-08-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.5,La Nina,21.85
2000-09-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.5,La Nina,18.8
2000-09-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.5,La Nina,89.42
2000-09-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.5,La Nina,20.0
2000-09-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,-0.5,La Nina,16.7
2000-10-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.6,La Nina,88.72
2000-10-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.6,La Nina,19.25
2000-10-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,-0.6,La Nina,17.0
2000-10-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.6,La Nina,71.7
2000-11-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,96.0
2000-11-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,100.3
2000-12-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.7,La Nina,18.2
2000-12-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.7,La Nina,19.6
2000-12-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-0.7,La Nina,17.5
2000-12-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,86.65
2000-12-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,72.84
2001-01-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,96.92
2001-01-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,88.71
2001-01-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,100.22
2001-01-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-0.7,La Nina,17.55
2001-01-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,86.13
2001-01-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,-0.7,La Nina,16.1
2001-01-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.7,La Nina,72.3
2001-01-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,-0.7,La Nina,16.0
2001-02-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.5,La Nina,101.0
2001-02-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.5,La Nina,19.0
2001-02-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-0.5,La Nina,17.5
2001-02-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",-0.5,La Nina,88.65
2001-02-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,-0.5,La Nina,15.85
2001-03-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.4,Neutral,97.54
2001-03-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.4,Neutral,91.67
2001-03-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.4,Neutral,103.99
2001-03-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.4,Neutral,75.77
2001-04-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,19.0
2001-04-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,105.5
2001-04-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,17.35
2001-05-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,105.69
2001-05-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,19.0
2001-05-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,92.6
2001-05-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,19.0
2001-05-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,16.5
2001-05-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,78.35
2001-06-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,19.0
2001-06-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,92.6
2001-06-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,19.0
2001-06-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,105.5
2001-06-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,78.61
2001-07-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,104.62
2001-07-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,19.0
2001-07-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,93.46
2001-07-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,105.5
