region,RMSE,MAE,Coverage,n
Autonomous region in Muslim Mindanao,4.27,2.26,86.01,143.0
Cordillera Administrative region,3.81,2.5,91.21,182.0
National Capital region,14.24,6.28,81.11,90.0
Region I,6.72,3.54,89.62,183.0
Region II,6.57,3.46,89.33,178.0
Region III,12.59,6.02,82.8,250.0
Region IV-A,11.16,5.21,83.96,212.0
Region IV-B,7.58,3.98,86.82,220.0
Region IX,5.55,2.74,87.91,182.0
Region V,9.82,4.76,86.27,204.0
Region VI,5.82,3.15,89.62,212.0
Region VII,3.86,2.3,93.41,167.0
Region VIII,4.82,2.89,88.84,224.0
Region X,3.6,2.18,89.55,201.0
Region XI,7.54,3.11,91.44,187.0
Region XII,3.79,2.17,91.67,192.0
Region XIII,12.22,4.39,91.58,190.0
