region,RMSE,MAE,Coverage,n
Autonomous region in Muslim Mindanao,6.24,2.66,82.28,237.0
Cordillera Administrative region,4.02,2.19,92.83,307.0
National Capital region,7.62,3.56,91.47,129.0
Region I,5.79,2.82,93.59,312.0
Region II,4.41,2.44,90.97,299.0
Region III,14.95,5.27,86.94,421.0
Region IV-A,10.22,4.33,89.29,364.0
Region IV-B,5.92,3.38,90.21,378.0
Region IX,5.55,2.55,91.37,313.0
Region V,5.46,3.08,90.52,327.0
Region VI,4.94,2.79,93.48,368.0
Region VII,5.31,2.45,94.14,290.0
Region VIII,4.2,2.5,93.14,379.0
Region X,4.09,2.38,90.83,349.0
Region XI,10.73,3.53,92.0,325.0
Region XII,4.86,2.37,91.54,331.0
Region XIII,8.54,3.38,90.85,317.0
