region,RMSE,MAE,Coverage,n
Autonomous region in Muslim Mindanao,5.72,2.57,90.3,237.0
Cordillera Administrative region,3.89,2.37,95.77,307.0
National Capital region,7.1,3.78,91.47,129.0
Region I,6.86,3.06,94.87,312.0
Region II,4.59,2.81,94.98,299.0
Region III,15.09,5.32,91.21,421.0
Region IV-A,10.0,4.69,94.23,364.0
Region IV-B,6.81,3.66,92.86,378.0
Region IX,5.15,2.48,97.12,313.0
Region V,5.81,3.24,93.27,327.0
Region VI,5.19,2.96,95.11,368.0
Region VII,5.57,2.54,94.14,290.0
Region VIII,4.19,2.54,96.04,379.0
Region X,3.57,2.14,94.56,349.0
Region XI,10.26,3.68,94.15,325.0
Region XII,6.06,2.77,95.17,331.0
Region XIII,8.37,3.36,94.95,317.0
