feature,shap_mean_abs
price_lag_12,0.21015623
price_lag_1,0.11184863
price_trend6,0.07597282
price_yoy,0.058498364
price_lag_2,0.028799472
price_lag_3,0.005735327
price_lag_6,0.0018565746
month_sin,0.0014525517
price_vol3,0.0011876229
comm_mean,0.0011761641
oni_x_month_sin,0.0009787513
oni,0.00089005654
oni_lag_6,0.0008749196
comm_std,0.00069078984
region_enc,0.00058071763
year,0.00048525294
oni_x_month_cos,0.00047663547
oni_lag_3,0.00034931288
month_cos,0.00034311909
is_coastal,0.00023385203
is_luzon_corridor,0.00018625605
enso_phase_Neutral,0.00012323774
fishing_ban,7.337058e-05
typhoon_season,6.917067e-05
is_january,1.7652179e-05
enso_phase_La Nina,0.0
